taxon,mean.difference (grp1 - grp2),se,effect.size (grp1 - grp2),p.val,q.val,diff.abn
taxon104,-0.43281686599878233,0.16409081196599395,-2.6376666725768834,0.008347859150222119,1,FALSE
taxon105,-0.12271061303090403,0.12817413407011374,-0.9573742309332001,0.33837840026886806,1,FALSE
taxon106,0.11281714132893539,0.12705017835651936,0.8879731047079351,0.3745552187404925,1,FALSE
taxon107,0.21856650586108545,0.1162357002437752,1.8803732880921873,0.060057221407182365,1,FALSE
taxon108,-0.11926813297350808,0.10091880808334448,-1.1818226477170606,0.2372760794774037,1,FALSE
taxon109,-0.39224849890757385,0.15960433611122113,-2.4576305911528205,0.01398569520124237,1,FALSE
taxon110,-1.0812450729604783,0,Inf,0,0,TRUE
taxon111,-2.0025475531522976,0.1614981343370455,-12.399818495568468,2.619161893813959e-35,1.0948096716142349e-32,TRUE
taxon112,0.20306731269965117,0.14223377238928844,1.4277010957978646,0.15337791064353168,1,FALSE
taxon113,0.016133866717340017,0.10214508570109694,0.1579504937178466,0.8744958091878244,1,FALSE
taxon114,0.35489843944818295,0.14647525845744652,2.4229241387635905,0.015396141405950341,1,FALSE
taxon115,0.45744353624096046,0.13443562981304427,3.4026956758198246,6.67245563747649e-4,0.2789086456465173,FALSE
taxon116,-0.13897592945164583,0.14749647021373727,-0.9422322395258387,0.3460737513565092,1,FALSE
taxon117,-0.28357610870563155,0.15327673244227086,-1.8500923407434706,0.06430024167982781,1,FALSE
taxon118,0.009291122785710648,0.11744047620368879,0.07911346314362795,0.9369423750389784,1,FALSE
taxon119,-1.047190031376079,0,Inf,0,0,TRUE
taxon120,-0.28917522506514104,0.12417560796447955,-2.32876029202015,0.019871768073741337,1,FALSE
taxon121,-5.362396117661807,0,Inf,0,0,TRUE
taxon122,0.07354885521857896,0.10801822736943181,0.6808930030580433,0.4959391957565626,1,FALSE
taxon123,-1.0500286249874224,0,Inf,0,0,TRUE
taxon124,-0.9447669208864082,0,Inf,0,0,TRUE
taxon125,-0.4176231540814509,0.13780149982032527,-3.0306139964076997,0.002440570379408372,1,FALSE
taxon126,0.16688811049190644,0.09693897412316829,1.721579086238962,0.08514579439328974,1,FALSE
taxon127,0.014053011892660727,0.11713907090110826,0.11996861324369418,0.9045080113518214,1,FALSE
taxon128,0.18239962358051826,0.09767312021102421,1.8674495417617578,0.06183883693074071,1,FALSE
taxon129,0.08902188602404504,0.12867289182862293,0.6918464702154332,0.48903375002220034,1,FALSE
taxon130,0.12950711277274518,0.1158439954343532,1.1179441134360273,0.26359086287557565,1,FALSE
taxon131,0.29694337135229637,0.1278672787407519,2.3222780235617786,0.020217970097108053,1,FALSE
taxon132,0.23841706829626474,0.12446565868702687,1.9155248990870049,0.055425596879172215,1,FALSE
taxon133,-0.041026080885724125,0.14726872317092024,-0.278579728284255,0.7805673715480763,1,FALSE
taxon134,-1.6087833133100573,0,Inf,0,0,TRUE
taxon135,-0.3750114350060012,0.1591119522715346,-2.3569029834164845,0.01842806062842092,1,FALSE
taxon136,-0.2520484408555035,0.13377099942374085,-1.8841784986378107,0.059540834907806636,1,FALSE
taxon137,0.22260063815356834,0.12019289856612488,1.8520282047370977,0.0640217728939305,1,FALSE
taxon138,1.0471796579627597,0.13166680709772435,7.953254742370513,1.8167424009982747e-15,7.593983236172788e-13,TRUE
taxon139,-0.04601362545882415,0.267899593927481,-0.17175698098026904,0.8636285870367721,1,FALSE
taxon140,-0.1056750906024253,0.0942279740144837,-1.1214832082262756,0.26208223518391066,1,FALSE
taxon141,-0.14928368674616377,0.14310589612030242,-1.0431693647385987,0.29686985931511334,1,FALSE
taxon142,-0.10348754069225463,0.15207719983008197,-0.6804934652129493,0.49619205816386985,1,FALSE
taxon143,0.09616455521229422,0.10623710549283319,0.9051880203831564,0.3653657872638892,1,FALSE
taxon144,0.14896268502112253,0.12040593303934095,1.2371706381981282,0.21602373964554372,1,FALSE
taxon145,-0.039884079160728,0.13191798385510223,-0.30233996908667427,0.7623929121886577,1,FALSE
taxon146,0.13115740053136743,0.13829793884695338,0.9483684400858065,0.3429419202125413,1,FALSE
taxon147,0.13107488792339628,0.1180000432095945,1.11080372818659,0.26665284137294065,1,FALSE
taxon148,-1.8058719151158142,0,Inf,0,0,TRUE
taxon149,0.09333961162303728,0.12768372207342332,0.7310220136703347,0.4647657069093637,1,FALSE
taxon150,-1.655791296153131,0,Inf,0,0,TRUE
taxon151,-0.11444207199934897,0.12537342347223518,-0.9128096595742475,0.3613426571101856,1,FALSE
taxon152,0.2541242372523793,0.10341113979531902,2.4574164616632768,0.01399403532986735,1,FALSE
taxon153,0.1765066285771646,0.09249990268800264,1.908181775850211,0.05636772621187245,1,FALSE
taxon154,-0.9338167853206738,0,Inf,0,0,TRUE
taxon155,0.06566238139188985,0.12044902434142209,0.545146643992439,0.585652664611436,1,FALSE
taxon156,-1.0423249009553097,0,Inf,0,0,TRUE
