"","ACTUAL","ANCOM.BC","UQ1","UQ2","TMM1","TMM2","CSS","MED","TSS","group","D.ANCOM.BC","D.UQ1","D.UQ2","D.TMM1","D.TMM2","D.CSS","D.MED","D.TSS","CD.ANCOM.BC","CD.UQ1","CD.UQ2","CD.TMM1","CD.TMM2","CD.CSS","CD.MED","CD.TSS"
"11",-2.11125750987653,-0.0844274875267247,11.624308945865,-0.200393464561015,11.4314275833717,-0.393274827054343,7.59689443814454,-0.00205391567362987,11.821034969487,"Group1",-2.0268300223498,-13.7355664557416,-1.91086404531551,-13.5426850932482,-1.71798268282218,-9.70815194802107,-2.1092035942029,-13.9322924793636,-0.00492540205106939,-0.213182875541246,0.0826649044497314,-0.0203015130479205,0.27554626694306,-0.127182159476375,-0.0986736949932929,-0.415320331609385
"12",-1.98261712499165,0.0519035192724687,11.6833424774492,-0.270537497114946,11.5660485347022,-0.38783143986198,7.7106533235012,0.0972964010909649,11.9506576786634,"Group1",-2.03452064426412,-13.6659596024409,-1.7120796278767,-13.5486656596938,-1.59478568512967,-9.69327044849285,-2.07991352608262,-13.933274803655,-0.0126160239653861,-0.143576022240563,0.281449321888539,-0.0262820794935319,0.398743264635573,-0.112300659948156,-0.0693836268730115,-0.416302655900845
"13",-1.83120110901533,0.18744049825482,11.8255937033667,-0.278684283496195,11.7112576392444,-0.393020347618525,7.80547462527086,0.237151372976318,12.1015062589128,"Group1",-2.01864160727015,-13.6567948123821,-1.55251682551913,-13.5424587482597,-1.4381807613968,-9.63667573428618,-2.06835248199164,-13.9327073679282,0.00326301302858667,-0.134411232181757,0.441012124246112,-0.020075168059428,0.555348188368442,-0.0557059457414866,-0.0578225827820402,-0.415735220173994
"14",-2.12131155105811,-0.116816321371358,11.539751557837,-0.275623895140029,11.4222253935725,-0.393150059404515,7.55013534248843,-0.0420204307948959,11.8116735822684,"Group1",-2.00449522968675,-13.6610631088951,-1.84568765591808,-13.5435369446306,-1.72816149165359,-9.67144689354654,-2.07929112026321,-13.9329851333266,0.0174093906119817,-0.138679528694766,0.147841293847163,-0.0211533644302815,0.265367458111649,-0.0904771050018418,-0.0687612210536099,-0.41601298557238
"15",-2.1555173507535,-0.112495939761717,11.5687390947102,-0.213281775835993,11.3886812810378,-0.393339589508423,7.56837926783652,-0.0390230228647104,11.7781932025848,"Group1",-2.04302141099178,-13.7242564454637,-1.9422355749175,-13.5441986317913,-1.76217776124507,-9.72389661859002,-2.11649432788879,-13.9337105533383,-0.0211167906930472,-0.201872865263406,0.0512933748477393,-0.021815051590977,0.231351188520169,-0.142926830045324,-0.105964428679183,-0.416738405584161
"16",-2.12157070181851,-0.110260884859328,11.5969099716769,-0.218864464636736,11.4235821272631,-0.392192309050606,7.51479976048867,-0.0194334163640546,11.8120740450308,"Group1",-2.01130981695918,-13.7184806734954,-1.90270623718177,-13.5451528290816,-1.7293783927679,-9.63637046230718,-2.10213728545445,-13.9336447468493,0.010594803339556,-0.196097093295112,0.0908227125834746,-0.022769248881243,0.264150556997344,-0.0554006737624793,-0.0916073862448465,-0.41667259909509
"17",-1.93964189658565,0.0691054081543696,11.7269630999251,-0.269202997322837,11.5986008360279,-0.397565261220105,7.71289096149013,0.108127470854103,11.9930774252678,"Group1",-2.00874730474002,-13.6666049965108,-1.67043889926281,-13.5382427326135,-1.54207663536554,-9.65253285807578,-2.04776936743975,-13.9327193218534,0.0131573155587161,-0.144221416310451,0.323090050502433,-0.0158591524131833,0.451452314399701,-0.0715630695310807,-0.0372394682301467,-0.415747174099254
"18",-1.88153740669404,0.133039795754958,11.8255937033667,-0.228050112434438,11.6575244395806,-0.396119376220579,7.73543335249969,0.171761385752958,12.0507279197804,"Group1",-2.014577202449,-13.7071311100608,-1.65348729425961,-13.5390618462747,-1.48541803047346,-9.61697075919373,-2.053298792447,-13.9322653264744,0.00732741784973179,-0.184747529860473,0.340041655505638,-0.0166782660743348,0.508110919291779,-0.0360009706490363,-0.0427688932373966,-0.415293178720271
"19",-1.73479765008353,0.258959857510958,11.9052113313314,-0.296145210845023,11.7944828397351,-0.406873702441327,7.90470391387375,0.29380353249754,12.1988415641647,"Group1",-1.99375750759449,-13.640008981415,-1.43865243923851,-13.5292804898187,-1.32792394764221,-9.63950156395728,-2.02860118258107,-13.9336392142482,0.0281471127042416,-0.117625401214656,0.554876510526733,-0.00689690961835332,0.665605002123037,-0.0585317754125843,-0.0180712833714698,-0.416667066494034
"20",-2.27342484443854,-0.254168479478121,11.4228872176977,-0.241032522319845,11.272540451756,-0.391379288261524,7.40488757561612,-0.167205416423555,11.6596112085052,"Group1",-2.01925636496042,-13.6963120621362,-2.03239232211869,-13.5459652961945,-1.88204555617701,-9.67831242005466,-2.10621942801498,-13.9330360529437,0.00264825533831781,-0.173928481935882,-0.0388633723534477,-0.0235817159942062,0.111483393588231,-0.0973426315099655,-0.095689528805377,-0.416063905189526
"21",-1.69436460123924,0.321298770484546,11.9694309240657,-0.274173509185758,11.8508602341077,-0.392744199143774,7.91169052070834,0.334803512494809,12.2411936200742,"Group1",-2.01566337172379,-13.663795525305,-1.42019109205349,-13.545224835347,-1.30162040209547,-9.60605512194758,-2.02916811373405,-13.9355582213134,0.00624124857494257,-0.141411945104661,0.573337857711758,-0.0228412551466466,0.691908547669773,-0.0250853334028882,-0.0186382145244499,-0.418586073559224
