"ACTUAL","ANCOM.BC","UQ1","UQ2","TMM1","TMM2","CSS","MED","TSS","group","D.ANCOM.BC","D.UQ1","D.UQ2","D.TMM1","D.TMM2","D.CSS","D.MED","D.TSS","CD.ANCOM.BC","CD.UQ1","CD.UQ2","CD.TMM1","CD.TMM2","CD.CSS","CD.MED","CD.TSS"
-2.1067318660796,-0.0922898247170049,11.6176017415037,-0.211593252770201,11.4554250633421,-0.373769930931801,7.58171964012531,-0.401918243754009,11.825544022712,"Group1",-2.01444204136259,-13.7243336075833,-1.8951386133094,-13.5621569294217,-1.7329619351478,-9.68845150620491,-1.70481362232559,-13.9322758887916,0.00296435211440382,-0.206175836332543,-0.323226006355907,-0.0439991581709442,-0.161049328194308,-0.136954715511179,-0.111280315472553,-0.417428362312119
-1.97951997622263,0.0471500365774987,11.6976444491773,-0.259312777049953,11.5863760957985,-0.370581130428691,7.71912984090673,-0.288899180336502,11.95374484682,"Group1",-2.02667001280013,-13.6771644253999,-1.72020719917268,-13.5658960720211,-1.60893884579394,-9.69864981712936,-1.69062079588613,-13.9332648230426,-0.00926361932312902,-0.159006654149108,-0.148294592219185,-0.0477383007703711,-0.0370262388404474,-0.147153026435634,-0.0970874890330888,-0.418417296563101
-1.827988781597,0.193989434434181,11.8068437411422,-0.300628818773307,11.7281957844448,-0.379276775470749,7.82204400818562,-0.161835235501214,12.1047096845484,"Group1",-2.02197821603118,-13.6348325227392,-1.52735996282369,-13.5561845660418,-1.44871200612625,-9.65003278978262,-1.66615354609579,-13.9326984661454,-0.0045718225541842,-0.116674751488471,0.044552644129797,-0.0380267947910315,0.123200600827238,-0.0985359990888934,-0.0726202392427497,-0.417850939665925
-2.11743275471354,-0.108860668500252,11.5305903645141,-0.288635275402102,11.4422097410876,-0.377015898828613,7.57712193087668,-0.41203009166941,11.8155380209603,"Group1",-2.00857208621328,-13.6480231192276,-1.82879747931143,-13.5596424958011,-1.74041685588492,-9.69455468559022,-1.70540266304413,-13.9329707756739,0.00883430726371381,-0.12986534797685,-0.256884872357943,-0.0414847245503402,-0.168504248931433,-0.143057894896488,-0.111869356191089,-0.418123249194354
-2.15224271699194,-0.10012328471717,11.5604433276638,-0.224827196748,11.4092063130024,-0.376064211409404,7.53208814354172,-0.399536403778157,11.7814552985774,"Group1",-2.05211943227477,-13.7126860446557,-1.92741552024394,-13.5614490299943,-1.77617850558254,-9.68433086053366,-1.75270631321379,-13.9336980155693,-0.0347130387977743,-0.194528273404936,-0.355502913290452,-0.043291258743535,-0.204265898629048,-0.132834069839937,-0.159173006360749,-0.418850489089822
-2.11836087939207,-0.0971293859227903,11.5604433276638,-0.258517257509703,11.4395523135109,-0.379408271662581,7.52725591937378,-0.40462312263123,11.8152719868621,"Group1",-2.02123149346928,-13.6788042070558,-1.85984362188237,-13.557913192903,-1.73895260772949,-9.64561679876585,-1.71373775676084,-13.9336328662541,-0.00382509999228287,-0.160646435805065,-0.287931014928878,-0.03975542165219,-0.167040000776,-0.0941200080721263,-0.120204449907805,-0.418785339774615
-1.93611685057612,0.080957495948623,11.7537339158283,-0.24593552364144,11.6223296112995,-0.37733982817024,7.74109909003537,-0.251024099460888,11.9965915858726,"Group1",-2.01707434652474,-13.6898507664044,-1.69018132693468,-13.5584464618756,-1.55877702240588,-9.67721594061149,-1.68509275111523,-13.9327084364487,0.000332046952255638,-0.171692995153643,-0.118268719981188,-0.0402886906248447,0.0131355845476107,-0.125719149917758,-0.0915594442621948,-0.417860909969157
-1.87773732144244,0.145252937187374,11.771752421331,-0.285669392442503,11.6756724003399,-0.381749413433582,7.82204400818562,-0.201127669809669,12.0545169292042,"Group1",-2.02299025862981,-13.6494897427734,-1.59206792899994,-13.5534097217823,-1.49598790800886,-9.69978132962806,-1.67660965163277,-13.9322542506467,-0.00558386515281528,-0.13133197152264,-0.0201553220464454,-0.0352519505315634,0.0759246989446325,-0.14828453893433,-0.0830763447797338,-0.417406724167147
-1.73277504770279,0.286769609956724,11.9309921706657,-0.272376823290151,11.8288024845547,-0.374566509401183,7.92696354486298,-0.0733522658474724,12.2008590784773,"Group1",-2.01954465765952,-13.6637672183685,-1.46039822441264,-13.5615775322575,-1.35820853830161,-9.65973859256577,-1.65942278185532,-13.9336341261801,-0.00213826418251717,-0.145609447117723,0.111514382540851,-0.0434197610066924,0.213704068651882,-0.108241801872042,-0.0658894750022816,-0.418786599700557
-2.26898541193605,-0.264313896776007,11.4352801847098,-0.233040899115161,11.2895649370775,-0.378756146747403,7.37148929521428,-0.57072723794968,11.6640315146113,"Group1",-2.00467151516005,-13.7042655966458,-2.03594451282089,-13.5585503490136,-1.89022926518865,-9.64047470715033,-1.69825817398637,-13.9330169265473,0.0127348783169516,-0.186107825395041,-0.464031905867401,-0.0403925777628,-0.31831665823516,-0.0889779164566029,-0.104724867133336,-0.418169400067793
