method,X1,X2,country,scale_x1,scale_x2
ANCOM-BC,0.206977041,0.036708626,VEN,2.112852869,0.685767153
ANCOM-BC,0.025447481,0.017889348,VEN,0.259771729,0.334197404
ANCOM-BC,0.034817248,-0.007766212,VEN,0.355419719,-0.14508342
ANCOM-BC,0.045841969,0.041740651,VEN,0.467961742,0.779772239
ANCOM-BC,0.012725179,0.126729622,VEN,0.129900543,2.367482025
ANCOM-BC,-0.036980479,-0.050860831,VEN,-0.377502306,-0.950149637
ANCOM-BC,0.066056188,0.131461588,VEN,0.674311537,2.455881602
ANCOM-BC,-0.039735403,-0.021872016,VEN,-0.405624995,-0.408599058
ANCOM-BC,-0.003758603,-0.007895624,VEN,-0.038368387,-0.147501017
ANCOM-BC,-0.080767579,0.036743721,VEN,-0.824487634,0.686422781
ANCOM-BC,0.228049435,0.07296526,VEN,2.327963048,1.363090478
ANCOM-BC,-0.104066525,0.078575594,VEN,-1.062326795,1.467899176
ANCOM-BC,-0.066500108,0.052278056,VEN,-0.678843133,0.976625318
ANCOM-BC,-0.078094364,0.037565453,VEN,-0.797199057,0.701773845
ANCOM-BC,-0.017570431,-0.00073189,VEN,-0.179361614,-0.013672698
ANCOM-BC,0.021318514,0.022837959,VEN,0.217622607,0.426644201
ANCOM-BC,-0.080144447,0.060720242,VEN,-0.818126607,1.134336852
ANCOM-BC,-0.052980448,-0.001153331,VEN,-0.540832412,-0.021545798
ANCOM-BC,-0.04297774,0.066682594,VEN,-0.438723252,1.245721719
ANCOM-BC,-0.034592598,-0.029301711,VEN,-0.353126456,-0.547395896
ANCOM-BC,-0.050451591,0.084304098,VEN,-0.515017455,1.574915429
ANCOM-BC,-0.076832007,0.117595413,VEN,-0.784312723,2.19684256
ANCOM-BC,-0.090056742,0.000750366,VEN,-0.919312812,0.014017855
ANCOM-BC,0.112996349,0.032849823,VEN,1.15348378,0.613679449
ANCOM-BC,-0.140326831,0.107385268,VEN,-1.432477465,2.006103136
ANCOM-BC,-0.037150119,0.076614228,VEN,-0.379234024,1.431258183
ANCOM-BC,-0.152212697,0.093985334,VEN,-1.553810179,1.755774109
ANCOM-BC,-0.033077516,0.098080043,VEN,-0.337660272,1.832268847
ANCOM-BC,-0.146468116,0.079767678,VEN,-1.495168628,1.490168923
ANCOM-BC,-0.063026856,0.02266016,VEN,-0.64338766,0.423322667
ANCOM-BC,-0.101606006,0.129067868,VEN,-1.03720944,2.411163648
ANCOM-BC,-0.053883031,0.038091766,VEN,-0.550046109,0.711606103
ANCOM-BC,-0.068247671,0.133652584,VEN,-0.696682529,2.496812388
ANCOM-BC,-0.002756484,0.010879933,VEN,-0.028138608,0.203251967
ANCOM-BC,-0.031428091,-0.003757632,VEN,-0.3208227,-0.07019768
ANCOM-BC,-0.027371733,-0.000470986,VEN,-0.279414781,-0.008798658
ANCOM-BC,-0.033339041,0.009120816,VEN,-0.340329966,0.170389277
ANCOM-BC,-0.0833567,0.052216802,VEN,-0.850917773,0.975481019
ANCOM-BC,-0.125480447,0.105005592,VEN,-1.280923342,1.961647543
ANCOM-BC,-0.06888985,-0.010292068,VEN,-0.703237981,-0.192269849
ANCOM-BC,-0.12872897,-0.022934476,VEN,-1.314084753,-0.428447269
ANCOM-BC,-0.01288445,0.056813077,VEN,-0.131526412,1.061345694
ANCOM-BC,-0.080748473,0.001518688,VEN,-0.824292602,0.028371167
ANCOM-BC,-0.038255345,0.054443203,VEN,-0.390516334,1.017073219
ANCOM-BC,-0.109389126,0.01699878,VEN,-1.116660706,0.317560375
ANCOM-BC,-0.008978986,0.019527557,VEN,-0.091658843,0.364801383
ANCOM-BC,-0.056633915,0.032910906,VEN,-0.578127552,0.614820577
ANCOM-BC,-0.10207206,0.022886426,VEN,-1.041966996,0.427549617
ANCOM-BC,-0.063296593,0.024277579,VEN,-0.646141175,0.453538264
ANCOM-BC,-0.060862938,0.041909632,VEN,-0.621298058,0.782929029
ANCOM-BC,-0.023093461,0.077637464,VEN,-0.235741532,1.450373627
ANCOM-BC,-0.017931784,0.037448796,VEN,-0.183050354,0.699594546
ANCOM-BC,-0.086358841,0.020200864,VEN,-0.881564078,0.377379675
ANCOM-BC,0.14814565,0.13753452,VEN,1.512293155,2.569332238
ANCOM-BC,0.040879134,0.0394519,VEN,0.417300371,0.737015255
ANCOM-BC,0.17184029,0.068016782,VEN,1.754171609,1.270646179
ANCOM-BC,0.002025871,0.008393573,VEN,0.020680398,0.156803389
ANCOM-BC,0.041765592,0.010058705,VEN,0.42634947,0.187910312
ANCOM-BC,0.027905901,0.005080467,VEN,0.284867652,0.094910048
ANCOM-BC,-0.041772625,0.102054031,VEN,-0.426421262,1.90650837
ANCOM-BC,0.105650062,0.067146866,VEN,1.078491781,1.254394951
ANCOM-BC,0.139182259,0.094762363,VEN,1.420793499,1.770290076
ANCOM-BC,-0.044401508,0.007032049,VEN,-0.45325729,0.13136825
ANCOM-BC,0.052332773,0.08316645,VEN,0.534220842,1.553662618
ANCOM-BC,-0.039282142,0.039311695,VEN,-0.400998034,0.734396032
ANCOM-BC,-0.055598247,0.078186012,VEN,-0.567555292,1.460621237
ANCOM-BC,-0.020878777,0.030321665,VEN,-0.213133703,0.56645002
ANCOM-BC,-0.078220243,0.093012367,VEN,-0.798484047,1.737597762
ANCOM-BC,-0.022399061,0.009666486,VEN,-0.228652999,0.180583128
ANCOM-BC,-0.088965699,0.081548248,VEN,-0.908175279,1.523432398
ANCOM-BC,-0.049036466,0.017061201,VEN,-0.500571641,0.318726489
ANCOM-BC,-0.109695487,0.039892733,VEN,-1.119788084,0.745250604
ANCOM-BC,-0.042415456,0.00946461,VEN,-0.432983376,0.176811813
ANCOM-BC,0.19831742,0.096663317,VEN,2.024454148,1.805802488
ANCOM-BC,-0.005218619,0.079124036,VEN,-0.053272455,1.478144818
ANCOM-BC,-0.005856266,-0.052584531,VEN,-0.059781651,-0.982350703
ANCOM-BC,0.005858268,0.089687633,VEN,0.059802088,1.675487188
ANCOM-BC,-0.088987737,0.000415485,VEN,-0.908400251,0.007761818
ANCOM-BC,-0.016035814,0.001770532,VEN,-0.163696012,0.033075952
ANCOM-BC,-0.027427161,0.053777634,VEN,-0.279980602,1.004639488
ANCOM-BC,-0.146825974,0.036525325,VEN,-1.498821697,0.682342848
ANCOM-BC,0.022805993,0.043239592,VEN,0.23280702,0.807774508
ANCOM-BC,0.168445043,0.061228052,VEN,1.719512417,1.143823446
ANCOM-BC,0.010014169,0.031883589,VEN,0.102226151,0.595628897
ANCOM-BC,-0.024418757,0.005488475,VEN,-0.249270361,0.102532189
ANCOM-BC,-0.006804649,0.053406009,VEN,-0.069462882,0.997697014
ANCOM-BC,-0.048388618,0.042486327,VEN,-0.493958319,0.79370249
ANCOM-BC,-0.024410393,0.016275969,VEN,-0.249184972,0.304057283
ANCOM-BC,0.198202483,0.071399695,VEN,2.023280859,1.333843598
ANCOM-BC,0.098987988,0.037109556,VEN,1.010484318,0.69325707
ANCOM-BC,-0.040903667,0.02107076,VEN,-0.417550804,0.393630515
ANCOM-BC,-0.05641227,0.056816793,VEN,-0.575864961,1.061415109
ANCOM-BC,-0.002709987,0.030884233,VEN,-0.027663957,0.576959552
