"phylum","genus","mean.difference (MA - US)","se","effect.size (MA - US)","p.val","q.val","diff.abn","struc.zero.MA","struc.zero.US"
"p__Proteobacteria","p__Proteobacteria;g__Acinetobacter",-0.104841584115926,0.121009091216595,-0.866394277172695,0.386273981214153,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Brachymonas",0.100839369474957,0.0697775118580122,1.44515570690097,0.148414154558037,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Buttiauxella",0.358472605180864,0.143878426046227,2.4914965713184,0.0127206194847731,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Citrobacter",0.133389414845535,0.141436566505882,0.943104164226071,0.345627625972913,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Desulfovibrio",-0.469384417996633,0.314862291922213,-1.490760977223,0.136024260384572,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Edwardsiella",0.202107327071293,0.0740599949931741,2.72896760376395,0.006353294504762,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Enterobacter",0.161084357618314,0.0981274974889338,1.64158224494087,0.100676609719054,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Gallionella",0.139076484998991,0.0537588780169214,2.5870421803672,0.00968037412033339,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Herbaspirillum",-0.150462257598741,0.0652593330591547,-2.30560519921884,0.0211327025105902,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Janthinobacterium",0.0521453328122488,0.0528251383589799,0.987131021936726,0.323578411561582,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Klebsiella",0.495890925333831,0.25817938098478,1.92072241959192,0.054766711596377,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Leclercia",-0.042494985395649,0.103182611520632,-0.411842506885492,0.680454863219812,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Limnohabitans",0.0122598431591806,0.066830521943102,0.183446766577978,0.854447483989756,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Methylibium",-0.0948862306929624,0.0675283422225513,-1.40513194267747,0.159982047124079,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Methyloversatilis",0.054837123191807,0.0687841734158579,0.797234603086247,0.425314792995249,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Nitrosomonas",-0.0373520150501084,0.0661206169251414,-0.564907237517106,0.572136860637672,1,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Novosphingobium",-0.0607756624733931,0.0538666617157444,-1.12826116446769,0.259209639459408,1,FALSE,0,0
