"otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"p__Firmicutes;g__Anaerostipes",105,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Anaerovorax",99,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Bacteroides",86,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Butyrivibrio",83,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Caloramator",117,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Desulfitobacterium",110,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Facklamia",113,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Finegoldia",113,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Gemella",82,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Melissococcus",117,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Moryella",111,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Paenibacillus",114,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Pediococcus",114,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Peptococcus",110,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Peptostreptococcus",106,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Salinicoccus",117,FALSE,FALSE,FALSE,TRUE
"p__Firmicutes;g__Staphylococcus",85,FALSE,FALSE,FALSE,FALSE
"p__Firmicutes;g__Subdoligranulum",101,FALSE,FALSE,FALSE,FALSE
"p__Fusobacteria;g__Cetobacterium",105,FALSE,FALSE,FALSE,TRUE
"p__Fusobacteria;g__Sneathia",115,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Acinetobacter",105,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Cardiobacterium",117,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Citrobacter",117,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Edwardsiella",114,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Enterobacter",117,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Gallionella",118,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Hylemonella",105,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Lautropia",110,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Methylibium",118,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Methyloversatilis",109,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Morganella",110,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Providencia",115,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Ramlibacter",109,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Raoultella",117,FALSE,FALSE,FALSE,TRUE
"p__Proteobacteria;g__Schlegelella",95,FALSE,FALSE,FALSE,FALSE
