"phylum","genus","mean.difference (VEN - US)","se (VEN - US)","W","p.val","q.val","diff.abn","structural.zero (US)","structural.zero (VEN)"
"p__Proteobacteria","p__Proteobacteria;g__Buttiauxella",1.08385085133045,0.169226731087051,6.40472604043217,1.50639623398903e-10,2.9525366186185e-08,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Pantoea",1.31294082028393,0.206411186450544,6.36080264282823,2.00702186360267e-10,3.93376285266124e-08,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Sphingobacterium",-0.685088324338979,0.111592219172355,-6.13921229831318,8.29316739193548e-10,1.62546080881935e-07,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Varibaculum",-1.25040378929966,0.204886575757966,-6.10290735092755,1.04156223965851e-09,2.04146198973069e-07,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Pseudobutyrivibrio",1.52379579460101,0.255624061590138,5.96108122655617,2.50574364961935e-09,4.91125755325393e-07,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Adlercreutzia",1.38762919405055,0.250095502774819,5.54839722687834,2.88300272153423e-08,5.6506853342071e-06,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Ralstonia",0.8859464777143,0.163513548007137,5.4181839273381,6.02074617399167e-08,1.18006625010237e-05,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Mobiluncus",-0.613661976275065,0.11342365360385,-5.41035275074434,6.29007248169791e-08,1.23285420641279e-05,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Megasphaera",1.61901063996854,0.301083605274812,5.37727930582869,7.56198176414629e-08,1.48214842577267e-05,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Cronobacter",0.733137329742681,0.137175985209741,5.34450201776731,9.0665966307954e-08,1.7770529396359e-05,TRUE,0,0
"p__Fusobacteria","p__Fusobacteria;g__Fusobacterium",1.18274886734154,0.221356570072509,5.3431839269741,9.13280102578286e-08,1.79002900105344e-05,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Citrobacter",1.03472424177864,0.193984274083579,5.33406249896746,9.60394427795637e-08,1.88237307847945e-05,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Hylemonella",1.33798297586058,0.251303364798507,5.3241745367531,1.01412498669537e-07,1.98768497392293e-05,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerococcus",-0.824753873522956,0.155065923599116,-5.31873060425031,1.04493719508397e-07,2.04807690236457e-05,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Dysgonomonas",-0.764988963366469,0.145035925228699,-5.2744791482538,1.33133653924143e-07,2.6094196169132e-05,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Dehalobacterium",-1.25280714369271,0.239907575952652,-5.22204077431868,1.76961990358045e-07,3.46845501101767e-05,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Actinobacillus",1.41239551856834,0.273020748561501,5.17321678301011,2.30097788697315e-07,4.50991665846737e-05,TRUE,0,0
"p__Tenericutes","p__Tenericutes;g__Clostridium",-1.33770685963609,0.263492939727586,-5.07682240373913,3.83799297104586e-07,7.52246622324988e-05,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Peptococcus",1.739035304968,0.347851377340919,4.99936299882356,5.75200247329336e-07,0.00011273924847655,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Anaerostipes",-0.989860014008415,0.200081841318611,-4.94727561224389,7.52593808353509e-07,0.000147508386437288,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Rhodocyclus",0.618016146404737,0.126799363543573,4.87396883654202,1.09378251434802e-06,0.000214381372812212,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Alloscardovia",-0.547500050381844,0.112524683942839,-4.86559953956382,1.14110361824778e-06,0.000223656309176564,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Carnobacterium",1.12393486111237,0.233267728683747,4.81821839417891,1.44845776850323e-06,0.000283897722626633,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Neisseria",0.643841880606917,0.137189043151956,4.69309987018257,2.69096037941933e-06,0.000527428234366188,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Alkalimonas",0.710866227619949,0.159561826351595,4.45511463408269,8.38483804970904e-06,0.00164342825774297,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Subdoligranulum",0.558237041436988,0.127143098236332,4.39062009012353,1.13027870501717e-05,0.00221534626183364,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Gemella",-0.762062163869325,0.180811196148176,-4.21468459975682,2.50127493589374e-05,0.00490249887435174,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Pediococcus",-0.456054516281983,0.109360788154221,-4.17018315229086,3.04354938423094e-05,0.00596535679309264,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Edwardsiella",0.618689139592179,0.152464943126243,4.05791080169753,4.95136709867412e-05,0.00970467951340127,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Plesiomonas",0.608117771582998,0.151751069889229,4.00733762224474,6.14070517520571e-05,0.0120357821434032,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Trichococcus",0.573802156763941,0.14361645564479,3.99537890130878,6.45908668652156e-05,0.0126598099055823,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Odoribacter",-1.20762470263249,0.306241345726751,-3.94337577039652,8.0342618210713e-05,0.0157471531692997,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Acidaminococcus",-0.473356769139014,0.121951500502835,-3.88151656344737,0.000103807080286586,0.0203461877361709,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Morganella",0.821607862596765,0.214056979358977,3.83826710559582,0.000123905657795716,0.0242855089279603,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Olsenella",-0.358475904405629,0.0959194416291701,-3.73726012492355,0.000186036431537665,0.0364631405813822,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Dyadobacter",-0.288092705786636,0.0783058187887348,-3.67907149485143,0.000234084644361815,0.0458805902949157,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Caloramator",-0.322389430051646,0.0876595516329246,-3.67774445620775,0.000235305524599136,0.0461198828214307,TRUE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Candidatus Azobacteroides",-0.305708840637913,0.0832602005679418,-3.67172837144981,0.000240915664192621,0.0472194701817538,TRUE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Collinsella",0.960575456719972,0.261907045240564,3.66761976882933,0.000244818883905299,0.0479845012454385,TRUE,0,0
"p__Firmicutes","p__Firmicutes;g__Roseburia",-0.994901137148583,0.271584655607495,-3.66331866181149,0.000248968491039203,0.0487978242436838,TRUE,0,0
"p__Fusobacteria","p__Fusobacteria;g__Leptotrichia",0.647457669769629,0.176787014090848,3.6623598916429,0.000249902438334052,0.0489808779134743,TRUE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Gallibacterium",0.631272832874099,0.174095752343594,3.62600939067269,0.000287834891304422,0.0564156386956667,FALSE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Kocuria",0.5291937649521,0.146446563955871,3.61356218034288,0.000302018883469338,0.0591957011599903,FALSE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Bifidobacterium",-1.2744828744812,0.355198631989242,-3.5880849747186,0.00033311573117486,0.0652906833102725,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Mogibacterium",-0.514167578665915,0.143531852965029,-3.58225416898359,0.000340642120971077,0.0667658557103311,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Raoultella",0.525339247314746,0.149443554278729,3.51530214769203,0.000439253924125956,0.0860937691286875,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Limnobacter",0.388800103151774,0.112303921246897,3.46203497469164,0.000536107482706585,0.105077066610491,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Butyrivibrio",0.726055058823504,0.210619617753535,3.44723376942564,0.000566358294704499,0.111006225762082,FALSE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Rothia",0.834490720056326,0.246333664538198,3.38764383512398,0.000704957428266828,0.138171655940298,FALSE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Tannerella",0.383735528802723,0.113464552721048,3.38198600003417,0.000719638120643349,0.141049071646096,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Acetivibrio",-0.280092634417702,0.0839946209444525,-3.33464966289845,0.00085406926747756,0.167397576425602,FALSE,0,0
"p__Actinobacteria","p__Actinobacteria;g__Atopobium",0.674759249954737,0.202405966720901,3.33369248390374,0.000857013508514533,0.167974647668848,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Paenibacillus",0.583507414143562,0.178638011004387,3.26642359519573,0.00108915194446202,0.213473781114556,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Paucibacter",-0.336638407403025,0.103234953856434,-3.26089560587377,0.00111060921146571,0.21767940544728,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Leuconostoc",0.894467215950613,0.276830727632623,3.23109802007834,0.0012331564303192,0.241698660342564,FALSE,0,0
"p__Proteobacteria","p__Proteobacteria;g__Thauera",-0.259991912093709,0.0819757514626841,-3.17157095183274,0.00151616825748343,0.297168978466753,FALSE,0,0
"p__Firmicutes","p__Firmicutes;g__Oribacterium",-0.489821738108555,0.154738259728072,-3.1654856334131,0.00154824307294372,0.303455642296969,FALSE,0,0
"p__Bacteroidetes","p__Bacteroidetes;g__Pedobacter",-0.283894617422157,0.0943552459177964,-3.00878466968853,0.00262294946495004,0.514098095130208,FALSE,0,0
