"ACTUAL","ANCOM.BC","CSS","MED","UQ","TMM","TSS","group","D.ANCOM.BC","D.CSS","D.MED","D.UQ","D.TMM","D.TSS","CD.ANCOM.BC","CD.CSS","CD.MED","CD.UQ","CD.TMM","CD.TSS"
-2.95858051476602,0.989397214225632,6.6052979209482,0.51317058774431,-0.329466755124717,-0.633860149066183,10.6028404378176,"Group1",-3.94797772899165,-9.56387843571422,-3.47175110251033,-2.6291137596413,-2.32472036569983,-13.5614209525836,0.624682817898217,0.91960951864248,0.870508305195195,1.67302133166953,1.97741472561099,0.228794154598045
-3.19069033436615,0.860698692219869,6.46925031679577,0.388566960877407,-0.270852569781142,-0.487225409329026,10.3740222907185,"Group1",-4.05138902658602,-9.65994065116192,-3.57925729524355,-2.919837764585,-2.70346492503712,-13.5647126250847,0.521271520303849,0.823547303194777,0.763002112461968,1.38229732672582,1.59867016627371,0.225502482096951
-2.29391682215645,1.64044502910068,7.04315991598834,1.03442034323245,-0.327084474852718,-0.762965244154513,11.26031448224,"Group1",-3.93436185125713,-9.33707673814479,-3.3283371653889,-1.96683234730373,-1.53095157800193,-13.5542313043965,0.638298695632737,1.14641121621191,1.01392224231663,2.3353027440071,2.77118351330889,0.235983802785158
-3.20059503542654,0.832190797098377,6.37842618365159,0.370483996064877,-0.172708319667282,-0.467282122983365,10.3627145721544,"Group1",-4.03278583252492,-9.57902121907813,-3.57107903149142,-3.02788671575926,-2.73331291244318,-13.5633096075809,0.539874714364947,0.90446673527857,0.771180376214103,1.27424837555157,1.56882217886765,0.226905499600706
-5.63743354916044,-0.53750641851109,5.75257263882563,-0.431457209860486,0.596560623758797,0.857653121612287,8.07868822922987,"Group1",-5.09992713064935,-11.3900061879861,-5.20597633929995,-6.23399417291923,-6.49508667077272,-13.7161217783903,-0.527266583759481,-0.90651823362937,-0.863716931594428,-1.9318590816084,-2.19295157946189,0.0740933287913332
-5.860291473484,-0.655084787320134,5.89715386763674,-0.443914552604145,0.753803327290364,0.977571171102739,7.89469085042562,"Group1",-5.20520668616387,-11.7574453411207,-5.41637692087986,-6.61409480077437,-6.83786264458674,-13.7549823239096,-0.632546139274004,-1.27395738676405,-1.07411751317434,-2.31195970946354,-2.53572755327591,0.0352327832720132
-5.19020155142957,-0.423862427378462,5.66988092298052,-0.399471113084156,0.298596027646089,0.550575561253583,8.41582469702795,"Group1",-4.7663391240511,-10.8600824744101,-4.79073043834541,-5.48879757907566,-5.74077711268315,-13.6060262484575,-0.19367857716124,-0.37659452005339,-0.448471030639889,-1.18666248776483,-1.43864202137232,0.184188858724124
-2.60417252495476,1.32907079802601,6.75693238924755,0.780598158184461,-0.351107372803765,-0.725664265343635,10.9535396505889,"Group1",-3.93324332298077,-9.36110491420231,-3.38477068313922,-2.253065152151,-1.87850825961113,-13.5577121755436,0.639417223909099,1.12238304015438,0.9574887245663,2.04906993915983,2.4236268316997,0.232502931638018
-2.43132274452892,1.47664843007514,6.93049476595163,0.888389586087138,-0.319632482849862,-0.755179712984023,11.1240962105135,"Group1",-3.90797117460405,-9.36181751048054,-3.31971233061605,-2.11169026167905,-1.67614303154489,-13.5554189550424,0.664689372285812,1.12167044387616,1.02254707708947,2.19044482963177,2.62599205976593,0.234796152139234
-2.55822719210022,1.36283164146853,6.78219205600679,0.793988292424699,-0.341927687650718,-0.709234304885977,10.9988111059045,"Group1",-3.92105883356875,-9.34041924810701,-3.35221548452492,-2.2162995044495,-1.84899288721424,-13.5570382980047,0.651601713321115,1.14306870624968,0.990043923180601,2.08583558686133,2.45314220409658,0.233176809176948
-3.41967394095966,0.676238212104545,6.46146817635372,0.27372217247397,-0.144609408444922,-0.378716743079961,10.1485882712024,"Group1",-4.09591215306421,-9.88114211731338,-3.69339611343363,-3.27506453251474,-3.0409571978797,-13.568262212162,0.476748393825657,0.602345837043316,0.648863294271888,1.02707055879609,1.26117789343113,0.221952895019596
