"ACTUAL","ANCOM.BC","CSS","MED","UQ","TMM","TSS","group","D.ANCOM.BC","D.CSS","D.MED","D.UQ","D.TMM","D.TSS","CD.ANCOM.BC","CD.CSS","CD.MED","CD.UQ","CD.TMM","CD.TSS"
-3.68504854645894,0.369644438376128,5.87493073085203,0.141709932703587,-0.406798229158893,-0.550070487085414,9.42068233145318,"Group1",-4.05469298483507,-9.55997927731097,-3.82675847916253,-3.27825031730005,-3.13497805937353,-13.1057308779121,0.567328116166748,1.12238658665133,0.802448572583541,1.29143828967536,1.40992667748275,0.202221316498386
-5.89811876787419,-0.553984487177917,5.91620206260743,-0.306581974393385,0.623272968277806,0.683410666743921,7.49108759353488,"Group1",-5.34413428069627,-11.8143208304816,-5.59153679348081,-6.521391736152,-6.58152943461811,-13.3892063614091,-0.722113179694458,-1.13195496651933,-0.962329741734737,-1.95170312917659,-2.03662469776183,-0.0812541669985531
-5.3394117697821,-0.401559954009722,5.79909265446053,-0.285686627227451,0.270663870323117,0.398559247054687,7.92334821193015,"Group1",-4.93785181577238,-11.1385044242426,-5.05372514255465,-5.61007564010522,-5.73797101683679,-13.2627599817123,-0.315830714770563,-0.456138560280328,-0.424518090808583,-1.04038703312982,-1.19306627998051,0.0451922126982556
-6.12147200146259,-0.613753560059961,5.96614673912369,-0.315199255789473,0.336245560333858,0.809253640579117,7.33693691370762,"Group1",-5.50771844140263,-12.0876187405863,-5.80627274567312,-6.45771756179645,-6.93072564204171,-13.4584089151702,-0.885697340400815,-1.40525287662398,-1.17706569392705,-1.88802895482105,-2.38582090518543,-0.150456720759697
-2.51139509710186,1.2620363530813,6.65286302935335,0.808817035631623,-0.610055293263302,-1.06560390386336,10.5671544277736,"Group1",-3.77343145018316,-9.16425812645521,-3.32021213273348,-1.90133980383856,-1.4457911932385,-13.0785495248754,0.848589650818655,1.51810773750709,1.30899491901259,2.66834880313684,3.09911354361778,0.229402669535087
-6.0966590094689,-0.584115634896928,5.91889385427315,-0.316249753128555,0.728536533041184,0.7903967784848,7.35436233042148,"Group1",-5.51254337457198,-12.0155528637421,-5.78040925634035,-6.82519554251009,-6.8870557879537,-13.4510213398904,-0.89052227357016,-1.33318699977975,-1.15120220459428,-2.25550693553469,-2.34215105109742,-0.143069145479869
-5.2531863211317,-0.400426309243846,5.8111409929767,-0.284056146118066,0.209985134488432,0.319947715465013,7.99463231143183,"Group1",-4.85276001188786,-11.0643273141084,-4.96913017501364,-5.46317145562014,-5.57313403659672,-13.2478186325635,-0.230738910886042,-0.381961450146104,-0.33992312326757,-0.893482848644734,-1.02822929974044,0.0601335618469836
-2.59498780643292,1.17349105188665,6.62007320653036,0.744250494918748,-0.596882694483797,-1.09590225911792,10.4838858796541,"Group1",-3.76847885831957,-9.21506101296328,-3.33923830135167,-1.99810511194912,-1.499085547315,-13.078873686087,0.85354224268225,1.46730485099902,1.2899687503944,2.57158349502628,3.04581918954128,0.229078508323516
-5.71087518433725,-0.499856957364121,5.8664680569333,-0.302197995034888,0.510349500936854,0.578162510236052,7.63336964967958,"Group1",-5.21101822697312,-11.5773432412705,-5.40867718930236,-6.2212246852741,-6.2890376945733,-13.3442448340168,-0.588997125971307,-0.894977377308242,-0.779470137556289,-1.6515360782987,-1.74413295771702,-0.0362926396063177
-3.68228077842524,0.370402669489612,5.89715386763674,0.141569292117354,-0.409131770976996,-0.653656666013586,9.42311030286283,"Group1",-4.05268344791485,-9.57943464606198,-3.82385007054259,-3.27314900744824,-3.02862411241165,-13.1053910812881,0.569337653086965,1.10293121790032,0.805356981203475,1.29653959952716,1.51628062444463,0.202561113122442
